document_ID,question_ID,question,prediction_ID,prediction_sentence
0,0,What technology is used by night-vision devices?,[1],Night-vision devices using active near-infrared illumination allow people or animals to be observed without the observer being detected.
0,1,What discipline uses infrared telescopes to see through molecular clouds?,[2],"Infrared astronomy uses sensor-equipped telescopes to penetrate dusty regions of space, such as molecular clouds; detect objects such as planets, and to view highly red-shifted objects from the early days of the universe."
0,2,What color shift indicates that space objects date from the early days of the universe?,[2],"Infrared astronomy uses sensor-equipped telescopes to penetrate dusty regions of space, such as molecular clouds; detect objects such as planets, and to view highly red-shifted objects from the early days of the universe."
0,3,What devices are used to observe insulated system heat loss?,[3],"Infrared thermal-imaging cameras are used to detect heat loss in insulated systems, to observe changing blood flow in the skin, and to detect overheating of electrical apparatus."
0,4,"Along with industrial and medical, in what applications is infrared radiation used?",[0],"Infrared radiation is used in industrial, scientific, and medical applications."
0,5,At what wavelength does the human eye become significantly less sensitive to light?,[5],"The human eye is markedly less sensitive to light above 700 nm wavelength, so longer wavelengths make insignificant contributions to scenes illuminated by common light sources."
0,6,What sort of light is generated by IR lasers?,[6],"However, particularly intense near-IR light (e.g., from IR lasers, IR LED sources, or from bright daylight with the visible light removed by colored gels) can be detected up to approximately 780 nm, and will be perceived as red light."
0,7,Up to what wavelength does the human eye perceive IR LED sources as red?,[6],"However, particularly intense near-IR light (e.g., from IR lasers, IR LED sources, or from bright daylight with the visible light removed by colored gels) can be detected up to approximately 780 nm, and will be perceived as red light."
0,8,Up to what wavelength does the human eye perceive certain intense lights as being dull red in color?,[6],"However, particularly intense near-IR light (e.g., from IR lasers, IR LED sources, or from bright daylight with the visible light removed by colored gels) can be detected up to approximately 780 nm, and will be perceived as red light."
0,9,What objects are notably bright in near IR?,[8],"Leaves are particularly bright in the near IR, and if all visible light leaks from around an IR-filter are blocked, and the eye is given a moment to adjust to the extremely dim image coming through a visually opaque IR-passing photographic filter, it is possible to see the Wood effect that consists of IR-glowing foliage."
0,10,What is the term for the property that describes how a surface's thermal emissions deviate from the ideal of a black body?,[10],This is a property of a surface that describes how its thermal emissions deviate from the ideal of a black body.
0,11,How will the infrared image of an object with a higher emissivity appear in relation to one with lower emissivity?,[12],"For example, for any pre-set emissivity value, objects with higher emissivity will appear hotter, and those with a lower emissivity will appear cooler."
0,12,"Along with pyrometers, what devices can receive inaccurate results if emissivity is not set correctly?",[13],"For that reason, incorrect selection of emissivity will give inaccurate results when using infrared cameras and pyrometers."
0,13,What is the technique that analyzes the constituent bonds of molecules to identify them?,[14],Infrared vibrational spectroscopy (see also near-infrared spectroscopy) is a technique that can be used to identify molecules by analysis of their constituent bonds.
0,14,What happens to a molecule if an oscillation results in a dipole being changed?,[17],If an oscillation leads to a change in dipole in the molecule then it will absorb a photon that has the same frequency.
0,15,What do the vibrational frequencies of molecules usually correspond to?,[18],The vibrational frequencies of most molecules correspond to the frequencies of infrared light.
0,16,What is the term for light radiation in the 4000–400 cm−1 spectrum?,[19],"Typically, the technique is used to study organic compounds using light radiation from 4000–400 cm−1, the mid-infrared."
0,17,What is used in infrared photography to capture the near-infrared spectrum?,[22],"In infrared photography, infrared filters are used to capture the near-infrared spectrum."
0,18,What devices are often equipped with infrared blockers?,[23],Digital cameras often use infrared blockers.
0,19,What is the technique that involves imaging with terahertz radiation?,[26],"There is also a technique called 'T-ray' imaging, which is imaging using far-infrared or terahertz radiation."
